Rk,Date,Tm,Home,Opp,Result,MP,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/17/2018,PHO,,DAL,W 121-100,240,108,0.227,0.375,0.517,0.489,0.159,38,88,0.432,28,55,0.509,10,33,0.303,14,20,0.7,100,20.8,46.3,73.7,7.6,10.6,8.5
2,10/20/2018,PHO,@,DEN,L 91-119,240,116.2,0.341,0.329,0.609,0.559,0.282,43,85,0.506,34,57,0.596,9,28,0.321,24,29,0.828,119,23.1,57.4,65.1,11.7,15.8,15.5
3,10/22/2018,PHO,@,GSW,L 103-123,240,119.9,0.295,0.42,0.618,0.591,0.216,45,88,0.511,31,51,0.608,14,37,0.378,19,26,0.731,123,17.5,47.1,77.8,11.7,7.7,12.3
4,10/24/2018,PHO,,LAL,L 113-131,240,126.6,0.23,0.28,0.595,0.57,0.17,52,100,0.52,42,72,0.583,10,28,0.357,17,23,0.739,131,23.9,49.4,65.4,12.6,9.4,6.8
5,10/27/2018,PHO,@,MEM,L 96-117,240,119.7,0.278,0.329,0.66,0.614,0.253,44,79,0.557,35,53,0.66,9,26,0.346,20,22,0.909,117,9.1,52.7,68.2,12.3,2.2,11.9
6,10/28/2018,PHO,@,OKC,L 110-117,240,110.5,0.412,0.282,0.583,0.547,0.282,43,85,0.506,36,61,0.59,7,24,0.292,24,35,0.686,117,20.9,49.4,51.2,15.1,5.1,13
7,10/31/2018,PHO,,SAS,L 90-120,240,117.6,0.313,0.217,0.635,0.578,0.289,46,83,0.554,42,65,0.646,4,18,0.222,24,26,0.923,120,17.6,57.3,52.2,6.9,9.1,12.9
8,11/2/2018,PHO,,TOR,L 98-107,240,109.7,0.259,0.407,0.593,0.58,0.16,41,81,0.506,29,48,0.604,12,33,0.364,13,21,0.619,107,14,44.3,70.7,11.3,15.4,12.6
9,11/4/2018,PHO,,MEM,W 102-100,240,109.2,0.382,0.303,0.563,0.52,0.276,36,76,0.474,29,53,0.547,7,23,0.304,21,29,0.724,100,22,44.8,52.8,14.2,9.4,12.8
10,11/6/2018,PHO,,BRK,L 82-104,240,106.9,0.207,0.391,0.518,0.495,0.141,41,92,0.446,32,56,0.571,9,36,0.25,13,19,0.684,104,24.5,51.5,53.7,9.3,8.9,9.1
11,11/8/2018,PHO,,BOS,L 109-116 (OT),265,107.1,0.32,0.381,0.524,0.474,0.247,39,97,0.402,25,60,0.417,14,37,0.378,24,31,0.774,116,30.9,57.1,53.8,5.5,10.3,12.6
12,11/10/2018,PHO,@,NOP,L 99-119,240,122.2,0.337,0.291,0.602,0.552,0.279,42,86,0.488,31,61,0.508,11,25,0.44,24,29,0.828,119,37.2,59.3,66.7,7.2,14,15.4
13,11/12/2018,PHO,@,OKC,L 101-118,240,122.8,0.217,0.293,0.585,0.538,0.207,43,92,0.467,30,65,0.462,13,27,0.481,19,20,0.95,118,30.8,53.2,53.5,12.5,10.9,11.4
14,11/14/2018,PHO,,SAS,W 116-96,240,99.2,0.289,0.277,0.513,0.464,0.229,35,83,0.422,28,60,0.467,7,23,0.304,19,24,0.792,96,28.3,53.1,45.7,7.2,7.5,16.1
15,11/17/2018,PHO,,OKC,L 100-110,240,110.9,0.376,0.282,0.555,0.488,0.318,38,85,0.447,31,61,0.508,7,24,0.292,27,32,0.844,110,34.1,62.7,44.7,9.1,13.2,15.4
16,11/19/2018,PHO,@,PHI,L 114-119,240,113.9,0.5,0.262,0.581,0.524,0.369,41,84,0.488,35,62,0.565,6,22,0.273,31,42,0.738,119,33.3,63.1,58.5,7.7,1.9,15.6
17,11/21/2018,PHO,@,CHI,L 116-124,240,117.9,0.296,0.309,0.677,0.636,0.259,46,81,0.568,35,56,0.625,11,25,0.44,21,24,0.875,124,11.8,52,60.9,7.6,3.1,15.7
18,11/23/2018,PHO,@,MIL,W 116-114,240,109.8,0.345,0.506,0.569,0.54,0.23,42,87,0.483,32,43,0.744,10,44,0.227,20,30,0.667,114,17.1,51.8,71.4,5.8,10.9,12.3
19,11/25/2018,PHO,@,DET,L 107-118,240,120.6,0.269,0.441,0.567,0.548,0.172,43,93,0.462,27,52,0.519,16,41,0.39,16,25,0.64,118,28.9,49.4,69.8,9.2,0,10.3
20,11/27/2018,PHO,,IND,L 104-109,240,115.5,0.322,0.289,0.53,0.483,0.244,38,90,0.422,27,64,0.422,11,26,0.423,22,29,0.759,109,34,55,65.8,8.5,9.7,10.5
21,11/28/2018,PHO,@,LAC,L 99-115,240,112.8,0.372,0.244,0.575,0.529,0.279,40,86,0.465,29,65,0.446,11,21,0.524,24,32,0.75,115,40,62.2,52.5,5.9,11.1,17.3
22,11/30/2018,PHO,,ORL,L 85-99,240,108.4,0.22,0.329,0.55,0.524,0.159,39,82,0.476,31,55,0.564,8,27,0.296,13,18,0.722,99,20.5,52.4,59,7.7,8.9,11.8
