Rk,Date,Tm,Home,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,ORtg,FTr,3PAr,TS%,eFG%,FT/FGA,ORB%,TRB%,AST%,STL%,BLK%,TOV%
1,10/16/2018,OKC,@,GSW,L 100-108,240,42,95,0.442,35,69,0.507,7,26,0.269,17,18,0.944,108,105.6,0.189,0.274,0.525,0.479,0.179,37,56.3,66.7,6.8,13,16.9
2,10/19/2018,OKC,@,LAC,L 92-108,240,35,81,0.432,24,55,0.436,11,26,0.423,27,36,0.75,108,109.8,0.444,0.321,0.558,0.5,0.333,21.3,48,60,3.1,4.8,12.6
3,10/21/2018,OKC,,SAC,L 120-131,240,50,91,0.549,40,69,0.58,10,22,0.455,21,28,0.75,131,119.1,0.308,0.242,0.634,0.604,0.231,26.7,47.4,56,10,10.8,14.1
4,10/25/2018,OKC,,BOS,L 95-101,240,33,86,0.384,22,54,0.407,11,32,0.344,24,33,0.727,101,101,0.384,0.372,0.502,0.448,0.279,19.6,44.1,57.6,7,1.5,9.9
5,10/28/2018,OKC,,PHO,W 117-110,240,38,86,0.442,30,59,0.508,8,27,0.296,26,27,0.963,110,103.9,0.314,0.314,0.562,0.488,0.302,22.7,50.6,55.3,9.4,4.9,18.4
6,10/30/2018,OKC,,LAC,W 128-110,240,35,74,0.473,28,54,0.519,7,20,0.35,33,43,0.767,110,100.2,0.581,0.27,0.592,0.52,0.446,15.8,48.1,51.4,5.5,9.1,20.5
7,11/1/2018,OKC,@,CHO,W 111-107,240,38,93,0.409,27,52,0.519,11,41,0.268,20,22,0.909,107,103.3,0.237,0.441,0.521,0.468,0.215,23.9,51,68.4,6.8,5.1,14.2
8,11/2/2018,OKC,@,WAS,W 134-111,240,44,86,0.512,35,56,0.625,9,30,0.3,14,18,0.778,111,108.6,0.209,0.349,0.591,0.564,0.163,16.2,44.1,61.4,5.9,7.4,16.1
9,11/5/2018,OKC,,NOP,W 122-116,240,41,84,0.488,32,55,0.582,9,29,0.31,25,30,0.833,116,110,0.357,0.345,0.597,0.542,0.298,25.6,52.3,65.9,7.6,7.6,17.1
10,11/7/2018,OKC,@,CLE,W 95-86,240,33,89,0.371,24,58,0.414,9,31,0.29,11,13,0.846,86,87.3,0.146,0.348,0.454,0.421,0.124,24.5,53.7,51.5,3,7,16.7
11,11/8/2018,OKC,,HOU,W 98-80,240,31,82,0.378,20,40,0.5,11,42,0.262,7,10,0.7,80,89.8,0.122,0.512,0.463,0.445,0.085,23.5,42.9,51.6,10.1,6.8,15.6
12,11/10/2018,OKC,@,DAL,L 96-111,240,43,77,0.558,29,48,0.604,14,29,0.483,11,17,0.647,111,118.1,0.221,0.377,0.657,0.649,0.143,12.9,41.8,72.1,9.6,7.9,15.9
13,11/12/2018,OKC,,PHO,W 118-101,240,39,81,0.481,32,55,0.582,7,26,0.269,16,19,0.842,101,105.1,0.235,0.321,0.565,0.525,0.198,25,46.8,64.1,5.2,7.7,16.8
14,11/14/2018,OKC,,NYK,W 128-103,240,39,88,0.443,32,62,0.516,7,26,0.269,18,23,0.783,103,100.6,0.261,0.295,0.525,0.483,0.205,20.9,43.4,46.2,7.8,12.9,15.5
15,11/17/2018,OKC,@,PHO,W 110-100,240,37,82,0.451,25,53,0.472,12,29,0.414,14,21,0.667,100,100.8,0.256,0.354,0.548,0.524,0.171,9.5,37.3,67.6,14.1,9.8,13.3
16,11/19/2018,OKC,@,SAC,L 113-117,240,45,102,0.441,29,64,0.453,16,38,0.421,11,17,0.647,117,106.2,0.167,0.373,0.534,0.52,0.108,25.9,52.7,64.4,6.4,6,12.1
17,11/21/2018,OKC,@,GSW,W 123-95,240,36,83,0.434,29,54,0.537,7,29,0.241,16,24,0.667,95,92.9,0.289,0.349,0.508,0.476,0.193,14,40.8,66.7,6.8,14.1,15.4
18,11/23/2018,OKC,,CHO,W 109-104,240,43,94,0.457,37,63,0.587,6,31,0.194,12,14,0.857,104,102.5,0.149,0.33,0.519,0.489,0.128,23.9,50,55.8,7.9,8.3,11.5
19,11/24/2018,OKC,,DEN,L 98-105,240,39,95,0.411,29,65,0.446,10,30,0.333,17,24,0.708,105,105.2,0.253,0.316,0.497,0.463,0.179,30,50,66.7,6,14.1,11.7
20,11/28/2018,OKC,,CLE,W 100-83,240,35,89,0.393,26,66,0.394,9,23,0.391,4,9,0.444,83,86.2,0.101,0.258,0.446,0.444,0.045,14.3,46.2,57.1,4.2,1.7,11.4
